year,sector,subsector,electricity_consumption_gwh
2013,Commercial-Related,Financial and Insurance Activities,2257.94
2013,Commercial-Related,Real Estate Activities,4532.39
2013,Commercial-Related,"Professional, Scientific",932.74264
2013,Commercial-Related,Other Commercial-Related,4552.8
2013,Transport-Related,Transport-Related,2369.09
2013,Households,Households,6754.91
2013,Others,Others,263.3827324
2014,Industry-Related,Manufacturing,17988.95
2014,Industry-Related,Construction,527.117294
2014,Industry-Related,Utilities,1197.96
2014,Industry-Related,Other Industry-Related,39.16869764
2014,Commercial-Related,Wholesale and Retail Trade,2020.5
2014,Commercial-Related,Accomodation and Food Services,1332.27
2014,Commercial-Related,Information and Communications,1294.52
2014,Commercial-Related,Financial and Insurance Activities,2574.1
2014,Commercial-Related,Real Estate Activities,4485.74
2014,Commercial-Related,"Professional, Scientific",680.9593286
2014,Commercial-Related,Other Commercial-Related,4658.54
2014,Transport-Related,Transport-Related,2441.03
2014,Households,Households,6924.39
2014,Others,Others,237.7006635
2015,Industry-Related,Manufacturing,18277.61
2015,Industry-Related,Construction,531.0360408
2015,Industry-Related,Utilities,1237.16
2015,Industry-Related,Other Industry-Related,42.19591686
2015,Commercial-Related,Wholesale and Retail Trade,2107.42
2015,Commercial-Related,Accomodation and Food Services,1350.2
2015,Commercial-Related,Information and Communications,1426.75
2015,Commercial-Related,Financial and Insurance Activities,2718.12
2015,Commercial-Related,Real Estate Activities,4454.57
2015,Commercial-Related,"Professional, Scientific",713.7016743
2015,Commercial-Related,Other Commercial-Related,4710.28
2015,Transport-Related,Transport-Related,2444.83
2015,Households,Households,7220.93
2015,Others,Others,279.1390577
2016,Industry-Related,Manufacturing,18370.91
2016,Industry-Related,Construction,551.5711261
2016,Industry-Related,Utilities,1450.14
2016,Industry-Related,Other Industry-Related,45.8183032
2016,Commercial-Related,Wholesale and Retail Trade,2073.37
2016,Commercial-Related,Accomodation and Food Services,1453.24
2016,Commercial-Related,Information and Communications,1847.97
2016,Commercial-Related,Financial and Insurance Activities,2361.69
2016,Commercial-Related,Real Estate Activities,4497.02
2016,Commercial-Related,"Professional, Scientific",683.4310531
2016,Commercial-Related,Other Commercial-Related,4782.6
2016,Transport-Related,Transport-Related,2639.37
2016,Households,Households,7589.44
2016,Others,Others,280.0659647
2017,Industry-Related,Manufacturing,19581.67
2017,Industry-Related,Construction,484.3487678
2017,Industry-Related,Utilities,1402.62
2017,Industry-Related,Other Industry-Related,47.68455175
2017,Commercial-Related,Wholesale and Retail Trade,1994.5
2017,Commercial-Related,Accomodation and Food Services,1444.9
2017,Commercial-Related,Information and Communications,1873.47
2017,Commercial-Related,Financial and Insurance Activities,2342.85
2017,Commercial-Related,Real Estate Activities,4700.88
2017,Commercial-Related,"Professional, Scientific",703.7763967
2017,Commercial-Related,Other Commercial-Related,4743.89
2017,Transport-Related,Transport-Related,2750.76
2017,Households,Households,7295.82
2017,Others,Others,276.4822746
2018,Industry-Related,Manufacturing,19451.5
2018,Industry-Related,Construction,432.2902376
2018,Industry-Related,Utilities,1518.68
2018,Industry-Related,Other Industry-Related,48.26049579
2018,Commercial-Related,Wholesale and Retail Trade,2292.9
2018,Commercial-Related,Accomodation and Food Services,1463.95
2018,Commercial-Related,Information and Communications,2230.46
2018,Commercial-Related,Financial and Insurance Activities,2358.95
2018,Commercial-Related,Real Estate Activities,4636.18
2018,Commercial-Related,"Professional, Scientific",719.892865
